date,cash,market_value,gross_exposure,net_exposure,equity,daily_return,drawdown,fold_id
2015-01-01,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-01-02,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-01-05,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-01-06,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-01-07,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-01-08,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-01-09,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-01-12,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-01-13,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-01-14,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-01-15,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-01-16,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-01-19,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-01-20,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-01-21,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-01-22,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-01-23,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-01-26,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-01-27,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-01-28,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-01-29,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-01-30,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-02-02,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-02-03,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-02-04,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-02-05,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-02-06,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-02-09,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-02-10,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-02-11,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-02-12,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-02-13,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-02-16,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-02-17,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-02-18,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-02-19,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-02-20,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
2015-02-23,100000,0.0,0.0,0.0,100000.0,0.0,0.0,0
